Name,Episodes,Released Year,Language,Rating,Ranking
Iribito,5,2021,Japanese,7.9,2538
Doctor X Season 7,10,2021,Japanese,7.9,2539
"Attention, Love!",15,2017,Taiwanese,7.9,2540
You Are My Destiny,36,2020,Chinese,7.9,2541
You Are My Heartbeat,20,2022,Thai,7.9,2542
Koizora,6,2008,Japanese,7.9,2546
Tracer,8,2022,Korean,7.9,2547
A Journey to Meet Love,52,2019,Chinese,7.9,2550
Seven of Me,38,2017,Chinese,7.9,2551
Trace: Kasouken no Otoko,11,2019,Japanese,7.9,2555
Saikou no Rikon,11,2013,Japanese,7.9,2556
Fight Song,10,2022,Japanese,7.9,2559
Kiss Goblin,12,2020,Korean,7.9,2560
My Beautiful Bride,16,2015,Korean,7.9,2561
Haha ni Naru,10,2017,Japanese,7.9,2563
Meteor Garden,50,2018,Chinese,7.9,2564
MOZU: Mozu no Sakebu Yoru,10,2014,Japanese,7.9,2565
First Love Again,24,2021,Chinese,7.9,2568
3 Will Be Free,10,2019,Thai,7.9,2569
Legal V,9,2018,Japanese,7.9,2570
Hwang Jin Yi,24,2006,Korean,7.9,2571
Cheo Yong Season 2,10,2015,Korean,7.9,2573
Catch Up My Prince,24,2023,Chinese,7.9,2575
Candle in the Tomb: The Lost Caverns,18,2020,Chinese,7.9,2579
Zenkamono,6,2021,Japanese,7.9,2580
My Lovely Sam Soon,16,2005,Korean,7.9,2581
Kimi no Hana ni Naru,10,2022,Japanese,7.9,2582
Mr Honesty,31,2020,Chinese,7.9,2584
Ice World,11,1999,Japanese,7.9,2586
Song of the Moon,40,2022,Chinese,7.9,2587
Miss Independent Ji Eun Season 2,16,2019,Korean,7.9,2588
The Legend of Zu Season 2,48,2018,Chinese,7.9,2589
The Taoism Grandmaster,46,2018,Chinese,7.9,2590
Karamazov no Kyodai,11,2013,Japanese,7.9,2591
Mada Kekkon Dekinai Otoko,10,2019,Japanese,7.9,2592
ATARU,11,2012,Japanese,7.9,2594
Big Issue,32,2019,Korean,7.9,2596
Arang and the Magistrate,20,2012,Korean,7.9,2597
"Sekai no Chuushin de, Ai wo Sakebu",11,2004,Japanese,7.9,2600
Queen of the Ring,21,2017,Korean,7.9,2606
Girl Next Room: Richy Rich,5,2020,Thai,7.9,2608
Nihon Chinbotsu: Kibo no Hito,10,2021,Japanese,7.9,2610
Kanojo wa Uso wo Aishisugiteru - Sidestory,10,2013,Japanese,7.9,2613
Piang Chai Khon Nee Mai Chai Poo Wised,15,2016,Thai,7.9,2615
Kakegurui Season 2,5,2019,Japanese,7.9,2617
Twenty Your Life On Season 2,40,2022,Chinese,7.9,2619
My Lovely Bodyguard,12,2022,Thai,7.9,2621
Rinko-san wa Shite Mitai,8,2021,Japanese,7.9,2622
Theory of Love,12,2019,Thai,7.9,2623
Shadow Detective,8,2022,Korean,7.9,2624
Love of Thousand Years,30,2020,Chinese,7.9,2627
Be My Boyfriend,15,2021,Korean,7.9,2628
Kidnapping Game,12,2020,Chinese,7.9,2629
Horimiya,7,2021,Japanese,7.9,2632
Police University,16,2021,Korean,7.9,2635
Chojin Sentai Jetman,51,1991,Japanese,7.9,2636
Chinese Paladin,34,2005,Chinese,7.9,2638
Gap Dong,20,2014,Korean,7.9,2640
To Ship Someone,24,2023,Chinese,7.9,2641
Oh My General,60,2017,Chinese,7.9,2643
Scripting Your Destiny,10,2021,Korean,7.9,2644
My Dear Guardian,40,2021,Chinese,7.9,2646
Miss Gu Who Is Silent,20,2020,Chinese,7.9,2648
Iryu Team Medical Dragon  4,11,2014,Japanese,7.9,2650
Let Me Be Your Knight,12,2021,Korean,7.9,2652
Let's Eat,16,2013,Korean,7.9,2653
It's Beautiful Now,50,2022,Korean,7.9,2655
The Destiny of White Snake,61,2018,Chinese,7.9,2658
Burning Ice,12,2017,Chinese,7.9,2659
Light Chaser Rescue,40,2022,Chinese,7.9,2660
35 sai no Koukousei,11,2013,Japanese,7.9,2661
Kindaichi Shonen no Jikenbo 5,10,2022,Japanese,7.9,2662
Khun Chai Phutthiphat,10,2013,Thai,7.9,2663
Sandglass,24,1995,Korean,7.9,2664
Royal Feast,40,2022,Chinese,7.9,2665
Kamisama Mou Sukoshi Dake,12,1998,Japanese,7.9,2667
BOSS Season 2,11,2011,Japanese,7.9,2668
Kamen Rider Zero-One,45,2019,Japanese,7.9,2669
Joseon Exorcist,2,2021,Korean,7.9,2670
Don Quixote,11,2011,Japanese,7.9,2671
Nice Witch,40,2018,Korean,7.9,2673
U-Prince: The Badly Politics,4,2017,Thai,7.9,2674
Never Say Goodbye,47,2021,Chinese,7.9,2676
Dear Missy,36,2020,Chinese,7.9,2678
Out of the Dream,30,2021,Chinese,7.9,2679
Age of Rebellion,15,2018,Taiwanese,7.9,2681
Party A Who Lives Beside Me,24,2021,Chinese,7.9,2682
"Hello, My Youth",20,2021,Chinese,7.9,2683
Jark Sadtroo Soo Hua Jai,19,2020,Thai,7.9,2684
All About My Mom,54,2015,Korean,7.9,2685
Let's Eat Season 2,18,2015,Korean,7.9,2686
Money Game,16,2020,Korean,7.9,2690
Love The Way You Are,24,2019,Chinese,7.9,2691
Queen: Love and War,16,2019,Korean,7.9,2693
The Gentlemen of Wolgyesu Tailor Shop,54,2016,Korean,7.9,2694
Mental Coach Jegal,16,2022,Korean,7.9,2695
180 Degree Longitude Passes Through Us,8,2022,Thai,7.9,2697
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,51,2018,Japanese,7.9,2698
The Painter of the Wind,20,2008,Korean,7.9,2700
The Longest Promise,40,2023,Chinese,7.9,2701
My Sunshine,32,2015,Chinese,7.9,2702
Take My Brother Away,30,2018,Chinese,7.9,2703
To Be a Better Man,42,2016,Chinese,7.9,2704
Ashi Girl,12,2017,Japanese,7.9,2705
Bureau of Transformer,24,2019,Chinese,7.9,2708
Miss Independent Ji Eun,8,2018,Korean,7.9,2709
Thirteen Years of Dust,24,2023,Chinese,7.9,2712
Good Job,12,2022,Korean,7.9,2714
My ID Is Gangnam Beauty,16,2018,Korean,7.9,2716
Ultraman Geed,25,2017,Japanese,7.9,2718
Marry Me Now,50,2018,Korean,7.9,2719
Kishibe Rohan wa Ugokanai Season 2,3,2021,Japanese,7.9,2720
Emergency Couple,21,2014,Korean,7.9,2722
Ishi no Mayu,5,2015,Japanese,7.9,2723
Followers,9,2020,Japanese,7.9,2724
Super Family,40,2017,Korean,7.9,2725
Satsui no Michinori,7,2020,Japanese,7.9,2727
Moebius: The Veil,2,2021,Korean,7.9,2728
Bloody Romance,36,2018,Chinese,7.9,2730
Dr. Tang,36,2022,Chinese,7.9,2731
Provoke,25,2023,Chinese,7.9,2732
Love in Between,43,2020,Chinese,7.9,2733
Please Don't Spoil Me Season 2,21,2022,Chinese,7.9,2734
The Only Girl You Haven't Seen,18,2022,Chinese,7.9,2736
Kuragehime,10,2018,Japanese,7.9,2737
The Fox's Summer,21,2017,Chinese,7.9,2738
Enjiya,6,2021,Japanese,7.9,2742
High Kick Through the Roof!,126,2009,Korean,7.9,2743
Hope or Dope,10,2022,Korean,7.9,2746
Atsu Hime,50,2008,Japanese,7.9,2747
Candle in the Tomb: The Wrath of Time,21,2019,Chinese,7.9,2749
The Whirlwind Girl,32,2015,Chinese,7.9,2752
Wacko at Law,15,2020,Taiwanese,7.9,2754
Payakorn Sorn Ruk,13,2020,Thai,7.9,2755
Mr. Fox and Miss Rose,30,2020,Chinese,7.9,2756
Oh! My Boss! Koi wa Bessatsu de,10,2021,Japanese,7.9,2758
Dr. Cutie,28,2020,Chinese,7.9,2759
Stairway to Heaven,20,2003,Korean,7.9,2761
Blackout,8,2021,Thai,7.9,2762
Different Dreams,40,2019,Korean,7.9,2765
Decoded,44,2016,Chinese,7.9,2767
The Romance of the Condor Heroes,54,2014,Chinese,7.9,2770
My Golden Life,52,2017,Korean,7.9,2771
CHANGE,10,2008,Japanese,7.9,2773
Lovestruck in the City,17,2020,Korean,7.9,2774
Wednesday 3:30 PM,15,2017,Korean,7.9,2776
Be My Cat,16,2021,Chinese,7.9,2777
Garo: Makai Senki,24,2011,Japanese,7.9,2778
Aishiteru,10,2009,Japanese,7.9,2779
The Naked Director,8,2019,Japanese,7.9,2782
Kakegurui Twin,8,2021,Japanese,7.9,2783
Chef: Mitsuboshi no Kyushoku,10,2016,Japanese,7.9,2784
Koko wa Ima kara Rinri desu,8,2021,Japanese,7.9,2785
Devilish Joy,16,2018,Korean,7.9,2786
Tokyo Joshi Zukan,11,2016,Japanese,7.9,2788
Gudetama: An Eggcellent Adventure,10,2022,Japanese,7.9,2791
"My Lawyer, Mr. Jo",20,2016,Korean,7.9,2792
The Cupids Series: Kammathep Sorn Kol,7,2017,Thai,7.9,2793
Mr. Nietzsche in the Convenience Store,10,2016,Japanese,7.9,2795
I Hear You,24,2019,Chinese,7.9,2796
Just You,21,2013,Taiwanese,7.9,2801
Promise Cinderella,10,2021,Japanese,7.9,2802
I Will Find You a Better Home,53,2020,Chinese,7.9,2803
Papa & Daddy,6,2021,Taiwanese,7.9,2805
Colorful Love: Genderless Danshi ni Aisareteimasu,10,2021,Japanese,7.9,2813
The Listener,36,2019,Chinese,7.9,2814
Night Doctor,11,2021,Japanese,7.9,2815
Kamen Rider Amazons,13,2016,Japanese,7.9,2818
The Girl Who Sees Scents,16,2015,Korean,7.9,2819
The Miracle of Teddy Bear,16,2022,Thai,7.9,2821
Doctor Stranger,20,2014,Korean,7.9,2823
Kore wa Keihi de Ochimasen!,10,2019,Japanese,7.9,2824
Todome no Parallel,10,2018,Japanese,7.9,2826
Should We Kiss First?,40,2018,Korean,7.9,2828
Doki no Sakura,10,2019,Japanese,7.9,2829
The Disappearing Child,12,2022,Chinese,7.9,2830
Unique Lady Season 2,12,2019,Chinese,7.9,2831
Tantei Gakuen Q,11,2007,Japanese,7.9,2832
You Are Desire,30,2023,Chinese,7.9,2833
Shiroi Haru,11,2009,Japanese,7.9,2834
Hiyama Kentaro no Ninshin,8,2022,Japanese,7.9,2835
Jejoongwon,36,2010,Korean,7.9,2836
GARO,25,2005,Japanese,7.9,2838
Fated to Love You,24,2008,Taiwanese,7.9,2839
Truth or Dare,30,2021,Chinese,7.9,2841
Heart to Heart,16,2015,Korean,7.9,2843
TRICK,10,2000,Japanese,7.9,2845
Lie to Love,32,2021,Chinese,7.9,2847
Kamen Rider Blade,49,2004,Japanese,7.9,2848
Sad Love Story,20,2005,Korean,7.9,2849
TWO WEEKS,10,2019,Japanese,7.9,2850
Marry Me!,10,2020,Japanese,7.9,2853
Listening Snow Tower,56,2019,Chinese,7.9,2854
Between Us,12,2022,Thai,7.9,2857
City Hall,20,2009,Korean,7.9,2859
Road Number One,20,2010,Korean,7.9,2860
We Are Peaceful Brothers,15,2017,Korean,7.9,2861
Cupid's Last Wish,10,2022,Thai,7.9,2862
A Thousand Goodnights,20,2019,Taiwanese,7.9,2863
Singing All Along,56,2016,Chinese,7.9,2865
Lucifer,20,2007,Korean,7.9,2868
Shining Inheritance,28,2009,Korean,7.9,2869
"Boku, Unmei no Hito desu",10,2017,Japanese,7.9,2870
Kodoku no Gourmet,12,2012,Japanese,7.9,2872
Itazura na Kiss: Love in Tokyo,16,2013,Japanese,7.9,2874
My Deepest Dream,30,2022,Chinese,7.9,2876
The One and Only,16,2021,Korean,7.9,2877
"Hur Jun, the Original Story",135,2013,Korean,7.9,2879
Pope Rak,12,2014,Thai,7.9,2880
Delightfully Deceitful,16,2023,Korean,7.9,2881
Where Stars Land,32,2018,Korean,7.9,2882
Sora Kara Furu Ichioku no Hoshi,11,2002,Japanese,7.9,2889
GTO: Remake Season 2,11,2014,Japanese,7.9,2890
Doctors,20,2016,Korean,7.9,2892
Cain and Abel,20,2009,Korean,7.9,2893
The Song of Glory,53,2020,Chinese,7.9,2894
Maids,20,2014,Korean,7.9,2895
The Wind Blows,16,2019,Korean,7.9,2897
Accidentally in Love,30,2018,Chinese,7.9,2898
Ultraman Orb,25,2016,Japanese,7.9,2899
Binary Love,24,2022,Chinese,7.9,2900
Love the Way You Are,30,2022,Chinese,7.9,2901
Don't Leave After School,24,2021,Chinese,7.9,2902
Dominator of Martial Gods,30,2023,Chinese,7.9,2903
Novoland: Eagle Flag,56,2019,Chinese,7.9,2904
The Revenge,12,2021,Thai,7.9,2907
Kindaichi Shonen no Jikenbo,8,1995,Japanese,7.9,2908
Love at Night,30,2021,Chinese,7.9,2909
Unrequited Love,24,2019,Chinese,7.9,2910
Roommates of Poongduck 304,8,2022,Korean,7.9,2912
A Poem a Day,16,2018,Korean,7.9,2913
Suishou no Kodou,5,2016,Japanese,7.9,2914
Out with a Bang,24,2022,Chinese,7.9,2915
Nagareboshi,10,2010,Japanese,7.9,2918
We Are All Alone,36,2020,Chinese,7.9,2920
Eve,16,2022,Korean,7.9,2921
Tracer Season 2,8,2022,Korean,7.9,2923
River Where the Moon Rises,20,2021,Korean,7.9,2924
My Amazing Boyfriend,28,2016,Chinese,7.9,2925
Love Under the Full Moon,24,2021,Chinese,7.9,2926
Wake Up Ladies,13,2018,Thai,7.9,2927
Trap,7,2019,Korean,7.9,2928
Girlfriend,36,2020,Chinese,7.9,2930
Dating Class,16,2019,Korean,7.9,2931
Our Glamorous Time,50,2018,Chinese,7.9,2933
Bride of the Century,16,2014,Korean,7.9,2936
Smile to Life,24,2022,Chinese,7.9,2940
The Trick of Life and Love,32,2021,Chinese,7.9,2942
Gou - Himetachi no Sengoku,46,2011,Japanese,7.9,2943
Kkondae  Intern,24,2020,Korean,7.9,2945
Matrimonial Chaos,32,2018,Korean,7.9,2946
Truth,32,2021,Chinese,7.9,2952
Good Casting,16,2020,Korean,7.9,2953
Healer of Children,44,2020,Chinese,7.9,2955
The Fox's Summer Season 2,23,2017,Chinese,7.9,2957
Decreed by Fate,16,2022,Chinese,7.9,2958
Well Dominated Love,24,2020,Chinese,7.9,2959
The Romance of Hua Rong Season 2,24,2022,Chinese,7.9,2960
Hormones Season 2,13,2014,Thai,7.9,2962
Anna,6,2022,Korean,7.9,2963
The Incarnation of Money,24,2013,Korean,7.9,2964
Run for Young,16,2020,Chinese,7.9,2966
Kindaichi Shonen no Jikenbo 2,9,1996,Japanese,7.9,2967
Numbers,12,2023,Korean,7.9,2968
Momikeshite Fuyu,10,2018,Japanese,7.9,2971
Jao Sao Jum Yorm,16,2018,Thai,7.9,2972
One More Happy Ending,16,2016,Korean,7.9,2973
Orthros no Inu,9,2009,Japanese,7.9,2974
Oh! My Emperor Season 2,21,2018,Chinese,7.9,2975
Kamen Rider 555,50,2003,Japanese,7.9,2979
Sweet Revenge,22,2017,Korean,7.9,2980
Omotesando Koukou Gasshoubu,10,2015,Japanese,7.9,2981
Krong Kam,19,2019,Thai,7.9,2984
Kamen Rider Black Sun,10,2022,Japanese,7.9,2986
Seirei no Moribito,4,2016,Japanese,7.9,2988
#Remolove: Futsuu no Koi wa Jado,10,2020,Japanese,7.9,2989
Cheewit Puer Kah Huajai Puer Tur,18,2017,Thai,7.9,2990
"Muchuu-sa, Kimi ni",5,2021,Japanese,7.9,2991
Just One Bite,8,2018,Korean,7.9,2992
Detective Chinatown,12,2020,Chinese,7.8,2995
Stay by My Side,10,2023,Taiwanese,7.8,2997
Mask Girl,7,2023,Korean,7.8,2998
Crossroad Bistro,30,2021,Chinese,7.8,2999
Cuo Dian Yuan Yang,25,2012,Chinese,7.8,3001
Kangoku no Ohimesama,10,2017,Japanese,7.8,3002
Dong Lan Xue,30,2023,Chinese,7.8,3004
Gasohug,6,2016,Thai,7.8,3007
My Lonely Planet,24,2020,Chinese,7.8,3008
Love Script,24,2020,Chinese,7.8,3009
Oi Handsome!,8,2022,Japanese,7.8,3012
You're My Destiny,17,2017,Thai,7.8,3013
Reverse,10,2017,Japanese,7.8,3014
The Heavenly Sword and Dragon Sabre,40,2002,Taiwanese,7.8,3015
Be My Princess,30,2022,Chinese,7.8,3016
Great Men Academy,8,2019,Thai,7.8,3017
Theseus no Fune,10,2020,Japanese,7.8,3019
The Glory of Tang Dynasty,60,2017,Chinese,7.8,3020
Ga Doo Ris Sushi Restaurant,12,2020,Korean,7.8,3021
Battle for Happiness,16,2023,Korean,7.8,3024
Naked Fireman,4,2017,Korean,7.8,3026
Nobushi no Gourmet,12,2017,Japanese,7.8,3027
His - Koisuru Tsumori Nante Nakatta,5,2019,Japanese,7.8,3028
Priceless,10,2012,Japanese,7.8,3029
The Temperature of Language: Our Nineteen,16,2020,Korean,7.8,3030
Be Loved in House: I Do,12,2021,Taiwanese,7.8,3032
Ni Chang,40,2021,Chinese,7.8,3034
Kiseki no Hito,8,2016,Japanese,7.8,3035
A Wifes Credentials,16,2012,Korean,7.8,3036
Glorious Day,44,2014,Korean,7.8,3038
Renai Mangaka,11,2021,Japanese,7.8,3039
Abyss,16,2019,Korean,7.8,3040
Day Breaker,24,2022,Chinese,7.8,3041
Horse Doctor,50,2012,Korean,7.8,3042
The Debut,13,2021,Thai,7.8,3044
Kamen Rider Geats,49,2022,Japanese,7.8,3045
Hikonin Sentai Akibaranger,13,2012,Japanese,7.8,3047
Ja Myung Go,39,2009,Korean,7.8,3048
The Fallen Leaf,21,2019,Thai,7.8,3049
The Imperial Doctress,50,2016,Chinese,7.8,3050
Watashi wo Hanasanaide,10,2016,Japanese,7.8,3051
Yuusha Yoshihiko to Akuryo no Kagi,11,2012,Japanese,7.8,3053
Love Class Season 2,10,2023,Korean,7.8,3054
The Cupids Series: Sorn Ruk Kammathep,7,2017,Thai,7.8,3055
The Cursed,12,2020,Korean,7.8,3057
My Wifes Having an Affair This Week,12,2016,Korean,7.8,3060
Love After School,8,2017,Korean,7.8,3062
"Watashi, Teiji de Kaerimasu",10,2019,Japanese,7.8,3063
Engine,11,2005,Japanese,7.8,3065
Come! Jang Bo Ri,52,2014,Korean,7.8,3066
DOCTORS Saikyou no Meii Season 2,9,2013,Japanese,7.8,3070
Love Designer,45,2020,Chinese,7.8,3071
Delivery Man,12,2023,Korean,7.8,3072
Timing,4,2020,Korean,7.8,3073
Life Is Beautiful,63,2010,Korean,7.8,3077
Strongest Deliveryman,16,2017,Korean,7.8,3078
Kakegurui,10,2018,Japanese,7.8,3079
L.O.R.D. Critical World,48,2019,Chinese,7.8,3081
Midnight Motel,6,2022,Thai,7.8,3083
Lost in 1949,46,2018,Chinese,7.8,3084
Candle in the Tomb: The Worm Valley,16,2021,Chinese,7.8,3086
Dorokei,10,2018,Japanese,7.8,3087
Uso no Senso,10,2017,Japanese,7.8,3088
Candle in the Tomb,21,2016,Chinese,7.8,3089
"Cheat On Me, if You Can",16,2020,Korean,7.8,3090
Ultraman Tiga,52,1996,Japanese,7.8,3091
Tawipob,17,2011,Thai,7.8,3092
Mirai e no 10 Count,9,2022,Japanese,7.8,3094
Kamen Rider Black,51,1987,Japanese,7.8,3097
Waen Dok Mai,26,2017,Thai,7.8,3098
Nobuta wo Produce,10,2005,Japanese,7.8,3100
Swords of Legends,52,2014,Chinese,7.8,3101
Yuru Camp,12,2020,Japanese,7.8,3102
Bread and Soup and Cat Weather,4,2013,Japanese,7.8,3105
Shoutai,4,2022,Japanese,7.8,3107
The Mermaid Prince: The Beginning,10,2020,Korean,7.8,3109
"Saimdang, Lights Diary",28,2017,Korean,7.8,3110
Hospital Ship,40,2017,Korean,7.8,3111
Secret Royal Inspector & Joy,16,2021,Korean,7.8,3112
About Is Love,30,2018,Chinese,7.8,3113
Nang Ai,15,2016,Thai,7.8,3115
The Lost Tomb,10,2015,Chinese,7.8,3116
Switched,6,2018,Japanese,7.8,3118
Cunning Single Lady,16,2014,Korean,7.8,3119
My Fantastic Mrs Right Season 2,12,2020,Chinese,7.8,3121
Ima Ai ni Yukimasu,10,2005,Japanese,7.8,3123
Youth,24,2018,Chinese,7.8,3124
Ban Shu Legend,42,2015,Chinese,7.8,3125
A Boss and a Babe,12,2023,Thai,7.8,3127
The Night of the Comet Season 2,20,2020,Chinese,7.8,3128
Yokoso Wagaya e,10,2015,Japanese,7.8,3129
Akira to Akira,9,2017,Japanese,7.8,3132
The Psychologist,40,2021,Chinese,7.8,3134
FAKE MOTION: Takkyu no Osho,8,2020,Japanese,7.8,3135
The Story of Xing Fu,40,2022,Chinese,7.8,3136
Two Cops,32,2017,Korean,7.8,3137
Rahut Rissaya,17,2020,Thai,7.8,3138
Flower Grandpa Investigation Unit,12,2014,Korean,7.8,3139
Mr. Fighting,45,2019,Chinese,7.8,3140
No Secrets,32,2019,Chinese,7.8,3142
"Hold On, My Lady",12,2021,Chinese,7.8,3144
Project 17: Side By Side,12,2019,Chinese,7.8,3146
Zyuden Sentai Kyoryuger,48,2013,Japanese,7.8,3147
I Need Romance Season 3,16,2014,Korean,7.8,3149
Old Boy,45,2018,Chinese,7.8,3151
Higuma,10,2020,Japanese,7.8,3153
First Love,24,2022,Chinese,7.8,3155
Adult Trainee,7,2021,Korean,7.8,3160
Heart of Loyalty,24,2021,Chinese,7.8,3162
Radiation House Season 2,11,2021,Japanese,7.8,3163
Legend of the Phoenix,41,2019,Chinese,7.8,3164
CHIP-IN,8,2020,Korean,7.8,3165
BG: Personal Bodyguard,9,2018,Japanese,7.8,3166
Hot Blooded Youth,58,2019,Chinese,7.8,3167
5-ji Kara 9-ji Made,10,2015,Japanese,7.8,3168
Wulin Heroes,22,2023,Chinese,7.8,3169
Lesson in Love,12,2022,Taiwanese,7.8,3170
Daisuki!!,10,2008,Japanese,7.8,3171
The Curse of Saree,14,2022,Thai,7.8,3172
Ultraman Z,25,2020,Japanese,7.8,3173
All I Want for Love Is You,32,2019,Chinese,7.8,3174
When My Love Blooms,16,2020,Korean,7.8,3178
Girlfriend Project Day 1,4,2022,Korean,7.8,3180
My Husband in Law,15,2020,Thai,7.8,3181
Nakark Kaew,23,2018,Thai,7.8,3182
How to Hate You,6,2019,Korean,7.8,3183
10 Years Ticket,16,2022,Thai,7.8,3184
Shitteru Waifu,11,2021,Japanese,7.8,3185
My Super Hero,37,2022,Chinese,7.8,3187
Shinai naru Boku e Satsui wo Komete,9,2022,Japanese,7.8,3188
How to Buy a Friend,8,2020,Korean,7.8,3189
Divorce Lawyers,46,2014,Chinese,7.8,3190
Utsukushii Kare,6,2021,Japanese,7.8,3191
The Science of Falling in Love,24,2023,Chinese,7.8,3192
49 Days With a Merman,14,2022,Taiwanese,7.8,3193
Gokusen 3,11,2008,Japanese,7.8,3194
Tribes and Empires: Storm of Prophecy,75,2017,Chinese,7.8,3195
The Flower in Prison,51,2016,Korean,7.8,3196
The Three GentleBros,18,2022,Thai,7.8,3201
Your House Helper,32,2018,Korean,7.8,3202
Khun Chai Ronaphee,11,2013,Thai,7.8,3203
The Confidence,40,2020,Chinese,7.8,3205
Chasing Ball,36,2019,Chinese,7.8,3207
Parallel Love,24,2020,Chinese,7.8,3208
Kamen Rider Agito,51,2001,Japanese,7.8,3209
Ruk Laek Pop,28,2020,Thai,7.8,3210
The Journey 2,12,2017,Chinese,7.8,3213
Nice Flight!,8,2022,Japanese,7.8,3214
I Wanna Be Sup'Tar,26,2015,Thai,7.8,3215
Kinkyu Torishirabeshitsu 2,9,2017,Japanese,7.8,3219
Rak Diao,15,2022,Thai,7.8,3220
The Little Fairy,39,2006,Chinese,7.8,3223
When You Love Yourself,6,2018,Korean,7.8,3225
When You Love Yourself Season 2,10,2019,Korean,7.8,3227
Together with Me,13,2017,Thai,7.8,3229
Decoy: Part 2,6,2023,Korean,7.8,3231
ON Ijou Hanzai Sousakan Todo Hinako,9,2016,Japanese,7.8,3232
I Don't Want to Be Brothers With You,30,2022,Chinese,7.8,3233
User Not Found,22,2021,Korean,7.8,3234
The Lady in Butcher's House,36,2022,Chinese,7.8,3235
So Not Worth it,12,2021,Korean,7.8,3237
My Dangerous Wife,16,2020,Korean,7.8,3238
6 From High & Low the Worst,6,2020,Japanese,7.8,3240
Rule the World,45,2017,Chinese,7.8,3243
The Leaked,3,2020,Thai,7.8,3246
"Fujoshi, Ukkari Gei ni Kokuru",8,2019,Japanese,7.8,3248
DOCTORS Saikyou no Meii Season 3,9,2015,Japanese,7.8,3249
Cherry Blossoms After Winter,8,2022,Korean,7.8,3251
When the Sky Falls,13,2022,Thai,7.8,3253
Walk Into Your Memory,24,2019,Chinese,7.8,3254
Secretary Bai Wants to Resign Everyday,21,2022,Chinese,7.8,3259
When a Snail Falls in Love,20,2023,Thai,7.8,3262
"Miss Ma, Nemesis",32,2018,Korean,7.8,3263
20th Century Boy and Girl,32,2017,Korean,7.8,3267
Oh My Ghost,16,2018,Thai,7.8,3268
IN-SEOUL Season 2,12,2020,Korean,7.8,3269
You Make Me Dance,8,2021,Korean,7.8,3272
Yuusha Yoshihiko to Michibikareshi Shichinin,12,2016,Japanese,7.8,3274
Schemes of a Beauty,40,2010,Chinese,7.8,3276
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,10,2017,Japanese,7.8,3277
Fah Mee Tawan,18,2020,Thai,7.8,3278
Sapai Jao,17,2015,Thai,7.8,3280
My Deskmate,30,2021,Chinese,7.8,3282
Medical Examiner Dr. Qin: The Mind Reader,28,2022,Chinese,7.8,3283
The Young Warriors,43,2006,Chinese,7.8,3287
Detective Samoyeds,24,2017,Chinese,7.8,3289
Yellow Boots,108,2012,Korean,7.8,3290
King Maker: The Change of Destiny,21,2020,Korean,7.8,3291
Behind Your Smile,19,2016,Taiwanese,7.8,3292
Love a Lifetime,45,2020,Chinese,7.8,3294
"Hello, the Sharpshooter",40,2022,Chinese,7.8,3297
Never Give Up,40,2023,Chinese,7.8,3298
Return,34,2018,Korean,7.8,3300
The Silence of the Monster,36,2022,Chinese,7.8,3302
The Sand Princess,14,2019,Thai,7.8,3303
Forest,32,2020,Korean,7.8,3305
Omukae Desu,9,2016,Japanese,7.8,3309
My Romance From Far Away,29,2022,Thai,7.8,3312
The King's Woman,48,2017,Chinese,7.8,3313
The Game: Towards Zero,32,2020,Korean,7.8,3315
Can You Deliver Time? 2002,8,2021,Korean,7.8,3316
"The Great King, Sejong",86,2008,Korean,7.8,3324
Tamiou,8,2015,Japanese,7.8,3325
Kimi wa Petto,16,2017,Japanese,7.8,3326
I Will Knock You,12,2022,Thai,7.8,3327
Homesick,12,2022,Chinese,7.8,3328
Unintentional Love Story,10,2023,Korean,7.8,3329
Leh Ratree,12,2015,Thai,7.8,3330
Gentlemen of East 8th,40,2022,Chinese,7.8,3332
Sanctuary: Seiiki,8,2023,Japanese,7.8,3333
Bokura no Yuuki,10,1997,Japanese,7.8,3334
The Flame's Daughter,52,2018,Chinese,7.8,3335
DOCTORS Saikyou no Meii,8,2011,Japanese,7.8,3337
Goong,24,2006,Korean,7.8,3338
Sweet Revenge Season 2,32,2018,Korean,7.8,3339
To Get Her,30,2019,Chinese,7.8,3340
Suna no Tou - Shiri Sugita Rinjin,10,2016,Japanese,7.8,3341
The Stranded,7,2019,Thai,7.8,3342
Song Huajai Nee Puea Tur,12,2015,Thai,7.8,3344
The Plough Department of Song Dynasty,36,2019,Chinese,7.8,3346
Galileo Season 2,11,2013,Japanese,7.8,3349
The Life of the White Fox,24,2019,Chinese,7.8,3350
Switch: Change the World,32,2018,Korean,7.8,3351
The Good Wife,10,2019,Japanese,7.8,3352
Bed Friend,10,2023,Thai,7.8,3354
Grand Prince,20,2018,Korean,7.8,3356
Cute Bodyguard,24,2022,Chinese,7.8,3357
Hirugao,11,2014,Japanese,7.8,3358
Late Night Restaurant,20,2015,Korean,7.8,3363
Out of Breath,3,2019,Korean,7.8,3364
Totto TV,7,2016,Japanese,7.8,3365
One Night Morning,8,2022,Japanese,7.8,3366
The Wolf Princess,24,2021,Chinese,7.8,3367
Jang Ok Jung,24,2013,Korean,7.8,3368
Cat's Bar,10,2019,Korean,7.8,3371
