Name,Episodes,Released Year,Language,Rating,Ranking
Falling Into Your Smile,31,2021,Chinese,8.6,302
The First Responders,12,2022,Korean,8.6,306
Glory of Special Forces,45,2022,Chinese,8.6,308
The Bad Kids,12,2020,Chinese,8.6,310
You Are My Hero,40,2021,Chinese,8.6,311
The Fiery Priest,40,2019,Korean,8.6,312
Till the End of the Moon,40,2023,Chinese,8.6,313
Tunnel,16,2017,Korean,8.6,316
Missing: The Other Side,12,2020,Korean,8.6,322
Live,18,2018,Korean,8.6,324
Mother,11,2010,Japanese,8.6,326
My Perfect Stranger,16,2023,Korean,8.6,328
Project S: Skate Our Souls,8,2017,Thai,8.6,333
My Liberation Notes,16,2022,Korean,8.6,338
Law School,16,2021,Korean,8.6,339
"It's Okay, That's Love",16,2014,Korean,8.6,341
Children of Nobody,32,2018,Korean,8.6,346
The Starry Love,40,2023,Chinese,8.6,349
Love Destiny,15,2018,Thai,8.6,350
Once Again,100,2020,Korean,8.6,352
Cross Fire,36,2020,Chinese,8.6,353
Kazoku Game,10,2013,Japanese,8.6,356
Ghost Doctor,16,2022,Korean,8.6,364
Lovely Us,16,2020,Chinese,8.6,366
The Romance of Tiger and Rose,24,2020,Chinese,8.6,367
Ashes of Love,63,2018,Chinese,8.6,372
Juvenile Justice,10,2022,Korean,8.6,373
Eternal Love of Dream,56,2020,Chinese,8.6,377
Word of Honor,36,2021,Chinese,8.6,378
Tenno no Ryoriban,12,2015,Japanese,8.6,379
Go Back Couple,12,2017,Korean,8.6,380
Shining for One Thing,24,2022,Chinese,8.6,381
Eulachacha Waikiki,20,2018,Korean,8.6,384
Empress Ki,51,2013,Korean,8.6,385
The Gifted,13,2018,Thai,8.6,386
Good Manager,20,2017,Korean,8.6,390
Love to Hate You,10,2023,Korean,8.6,392
Money Heist: Korea - Joint Economic Area - Part 2,6,2022,Korean,8.6,395
Beautiful World,16,2019,Korean,8.6,397
Big Mouth,16,2022,Korean,8.6,398
Enigma,4,2023,Thai,8.6,401
Duty After School: Part 1,6,2023,Korean,8.6,402
Ancient Love Poetry,49,2021,Chinese,8.6,403
The Bridal Mask,28,2012,Korean,8.6,404
Stranger Season 2,16,2020,Korean,8.5,405
Forever Love,28,2020,Chinese,8.5,408
Cruel City,20,2013,Korean,8.5,410
Reborn Rich,16,2022,Korean,8.5,413
My Father Is Strange,52,2017,Korean,8.5,414
Avengers Social Club,12,2017,Korean,8.5,416
Our Secret,24,2021,Chinese,8.5,417
Nobody Knows,16,2020,Korean,8.5,422
MIU 404,11,2020,Japanese,8.5,423
Designated Survivor: 60 Days,16,2019,Korean,8.5,426
Age of Youth,12,2016,Korean,8.5,427
In Family We Trust,18,2018,Thai,8.5,431
Boku no Ita Jikan,11,2014,Japanese,8.5,435
Little Women,12,2022,Korean,8.5,436
Just Between Lovers,16,2017,Korean,8.5,438
Bad and Crazy,12,2021,Korean,8.5,440
Silent,11,2022,Japanese,8.5,441
A Tale of Thousand Stars,10,2021,Thai,8.5,444
My Love from the Star,21,2013,Korean,8.5,445
365: Repeat the Year,24,2020,Korean,8.5,446
My School President,12,2022,Thai,8.5,448
Revenge of Others,12,2022,Korean,8.5,450
Rebel: Thief Who Stole the People,30,2017,Korean,8.5,451
Not Me,14,2021,Thai,8.5,452
Arthdal Chronicles Part 1: The Children of Prophecy,6,2019,Korean,8.5,453
The Kings Avatar,40,2019,Chinese,8.5,458
Mystic Pop-Up Bar,12,2020,Korean,8.5,460
Reunion: The Sound of the Providence Season 2,30,2020,Chinese,8.5,462
Remembrance of Things Past,12,2021,Chinese,8.5,467
My Little Happiness,28,2021,Chinese,8.5,468
The Master's Sun,17,2013,Korean,8.5,469
Blind,16,2022,Korean,8.5,470
Queen Seon Duk,62,2009,Korean,8.5,471
Legend of Concubine Zhen Huan,76,2012,Chinese,8.5,472
The Long Night,12,2020,Chinese,8.5,474
Bad Guys,11,2014,Korean,8.5,475
Hanzawa Naoki Season 2,10,2020,Japanese,8.5,476
The Longest Day in Chang'an,48,2019,Chinese,8.5,477
What's Wrong with Secretary Kim,16,2018,Korean,8.5,478
Back From the Brink,40,2023,Chinese,8.5,481
Tonbi,10,2013,Japanese,8.5,483
The Prince of Tennis,42,2019,Chinese,8.5,484
Save Me,16,2017,Korean,8.5,485
Stay with Me,24,2023,Chinese,8.5,486
W,16,2016,Korean,8.5,488
One Ordinary Day,8,2021,Korean,8.5,490
The Day of Becoming You,26,2021,Chinese,8.5,492
"Soredemo, Ikite Yuku",11,2011,Japanese,8.5,494
All of Us Are Dead,12,2022,Korean,8.5,495
Ouroboros,10,2015,Japanese,8.5,496
Brush Up Life,10,2023,Japanese,8.5,498
I Hear Your Voice,18,2013,Korean,8.5,499
Kairos,16,2020,Korean,8.5,500
Voice,16,2017,Korean,8.5,501
To Fly With You,35,2021,Chinese,8.5,502
Girl From Nowhere,13,2018,Thai,8.5,504
Vagabond,16,2019,Korean,8.5,505
Code Blue Season 3,10,2017,Japanese,8.5,510
"Hi Bye, Mama!",16,2020,Korean,8.5,512
Killer And Healer,37,2021,Chinese,8.5,515
Fight for My Way,16,2017,Korean,8.5,516
Doctor John,32,2019,Korean,8.5,517
Arsenal Military Academy,48,2019,Chinese,8.5,518
Le Coup de Foudre,35,2019,Chinese,8.5,526
Kamen Rider W,49,2009,Japanese,8.5,527
The Sleuth of Ming Dynasty,48,2020,Chinese,8.5,528
One Dollar Lawyer,12,2022,Korean,8.5,531
Dong Yi,60,2010,Korean,8.5,533
Destined,40,2023,Chinese,8.5,536
Time and Him Are Just Right,25,2022,Chinese,8.5,537
Guardian,40,2018,Chinese,8.5,539
Reply 1997,16,2012,Korean,8.5,541
Bad Genius,12,2020,Thai,8.5,545
The Bond,36,2021,Chinese,8.5,547
Mad for Each Other,13,2021,Korean,8.5,549
Love Is Sweet,36,2020,Chinese,8.5,551
Legally Romance,33,2022,Chinese,8.5,552
The Imperial Coroner,36,2021,Chinese,8.5,553
The World Between Us,10,2019,Taiwanese,8.5,554
Itaewon Class,16,2020,Korean,8.5,555
Squid Game,9,2021,Korean,8.5,556
"It's Okay, That's Friendship",1,2021,Korean,8.5,557
The Love You Give Me,28,2023,Chinese,8.5,558
Thirty But Seventeen,32,2018,Korean,8.5,559
Go Go Squid!,41,2019,Chinese,8.5,561
The Blue Whisper: Part 2,20,2022,Chinese,8.5,563
Two Weeks,16,2013,Korean,8.5,566
Autumn's Concerto,21,2009,Taiwanese,8.5,568
Juhan Shuttai!,10,2016,Japanese,8.5,570
A Murderous Affair in Horizon Tower,16,2020,Chinese,8.5,571
Kyo Kara Ore wa!!,10,2018,Japanese,8.5,574
A Dream of Splendor,40,2022,Chinese,8.5,582
See You in My 19th Life,12,2023,Korean,8.5,583
Falling Into You,26,2022,Chinese,8.4,586
Goodbye My Princess: Director's Cut,55,2019,Chinese,8.4,587
Dali and the Cocky Prince,16,2021,Korean,8.4,591
The Princess's Man,24,2011,Korean,8.4,595
Voice Season 2,12,2018,Korean,8.4,596
Liar Game 2,9,2009,Japanese,8.4,597
F4 Thailand: Boys Over Flowers,16,2021,Thai,8.4,600
Happy Birthday,13,2018,Thai,8.4,601
Because This Is My First Life,16,2017,Korean,8.4,604
Forever and Ever,30,2021,Chinese,8.4,607
Doom at Your Service,16,2021,Korean,8.4,610
Lost,16,2021,Korean,8.4,611
Koi wa Tsuzuku yo Doko Made mo,10,2020,Japanese,8.4,615
Crash Course in Romance,16,2023,Korean,8.4,618
The Uncanny Counter Season 2: Counter Punch,12,2023,Korean,8.4,621
Seasons of Blossom,16,2022,Korean,8.4,624
The Confidence Man JP,10,2018,Japanese,8.4,625
Kleun Cheewit,15,2017,Thai,8.4,629
Recipe for Farewell,12,2022,Korean,8.4,633
Lost Romance,20,2020,Taiwanese,8.4,635
Bad Buddy,12,2021,Thai,8.4,636
"Work Later, Drink Now",12,2021,Korean,8.4,640
Circle,12,2017,Korean,8.4,647
Skate Into Love,40,2020,Chinese,8.4,651
Sweet Teeth,22,2021,Chinese,8.4,657
Project S: Side by Side,8,2017,Thai,8.4,658
Angel's Last Mission: Love,32,2019,Korean,8.4,659
Put Your Head on My Shoulder,24,2019,Chinese,8.4,660
Boku Dake ga Inai Machi,12,2017,Japanese,8.4,662
When the Camellia Blooms,40,2019,Korean,8.4,665
Yumi's Cells,14,2021,Korean,8.4,668
Snowdrop,16,2021,Korean,8.4,672
The Rebel Princess,68,2021,Chinese,8.4,673
Hi Venus,24,2022,Chinese,8.4,675
dele,8,2018,Japanese,8.4,676
Queen In Hyun's Man,16,2012,Korean,8.4,677
If You Wish Upon Me,16,2022,Korean,8.4,678
Moon Embracing the Sun,20,2012,Korean,8.4,681
The World of the Married,16,2020,Korean,8.4,684
Under the Power,55,2019,Chinese,8.4,685
Love You Seven Times,38,2023,Chinese,8.4,686
Fall in Love,36,2021,Chinese,8.4,688
Medical Examiner Dr. Qin,20,2016,Chinese,8.4,689
Extracurricular,10,2020,Korean,8.4,690
Crush,24,2021,Chinese,8.4,693
Unforgettable Love,24,2021,Chinese,8.4,694
Pachinko,8,2022,Korean,8.4,696
Kono Sekai no Katasumi ni,9,2018,Japanese,8.4,701
My Unfamiliar Family,16,2020,Korean,8.4,704
Be Melodramatic,16,2019,Korean,8.4,705
Love All Play,16,2022,Korean,8.4,706
Love Scenery,31,2021,Chinese,8.4,707
Immortal Samsara: Part 2,21,2022,Chinese,8.4,708
The Rise of Phoenixes,70,2018,Chinese,8.4,710
Ever Night,60,2018,Chinese,8.4,713
Kaizoku Sentai Gokaiger,51,2011,Japanese,8.4,714
Memorist,16,2020,Korean,8.4,716
Hello Monster,16,2015,Korean,8.4,720
Nanba MG5,10,2022,Japanese,8.4,721
Train,12,2020,Korean,8.4,723
The Crowned Clown,16,2019,Korean,8.4,724
I'm Not a Robot,32,2017,Korean,8.4,729
Scarlet Heart,35,2011,Chinese,8.4,730
"From Now On, Showtime!",16,2022,Korean,8.4,733
Duel,16,2017,Korean,8.4,735
The Blue Whisper: Part 1,22,2022,Chinese,8.4,736
The Mysterious Class,8,2021,Korean,8.4,741
My Calorie Boy,30,2022,Chinese,8.4,742
Douluo Continent,40,2021,Chinese,8.4,745
When We Were Young,24,2018,Chinese,8.4,746
HIStory3: Trapped,20,2019,Taiwanese,8.4,747
Exclusive Fairytale,24,2023,Chinese,8.4,750
Pinocchio,20,2014,Korean,8.4,752
Extraordinary You,32,2019,Korean,8.4,756
My Country: The New Age,16,2019,Korean,8.4,757
Immortal Samsara: Part 1,38,2022,Chinese,8.4,759
Amanza,10,2020,Korean,8.4,761
Mad Dog,16,2017,Korean,8.4,762
99.9: Keiji Senmon Bengoshi Season 2,9,2018,Japanese,8.4,765
Birthcare Center,8,2020,Korean,8.4,766
Maiden Holmes,32,2020,Chinese,8.4,770
A River Runs Through It,36,2021,Chinese,8.4,772
Konto ga Hajimaru,10,2021,Japanese,8.4,774
JIN 2,11,2011,Japanese,8.4,777
Military Prosecutor Doberman,16,2022,Korean,8.4,780
Secret,16,2013,Korean,8.4,782
Asa ga Kita,156,2015,Japanese,8.4,784
Sell Your Haunted House,16,2021,Korean,8.4,786
Age of Youth Season 2,14,2017,Korean,8.4,788
Soundtrack #1,4,2022,Korean,8.4,789
The Warp Effect,12,2022,Thai,8.4,793
Ruyi's Royal Love in the Palace,87,2018,Chinese,8.4,794
Gaus Electronics,12,2022,Korean,8.4,795
Love and Destiny,60,2019,Chinese,8.4,796
King the Land,16,2023,Korean,8.4,797
Her Private Life,16,2019,Korean,8.4,800
Love Me If You Dare,24,2015,Chinese,8.4,801
Partners for Justice,32,2018,Korean,8.4,802
N no Tame ni,10,2014,Japanese,8.4,806
Moonlight Chicken,8,2023,Thai,8.4,807
Tale of the Nine-Tailed,16,2020,Korean,8.4,809
Full House,20,2014,Thai,8.4,810
The Princess Wei Young,54,2016,Chinese,8.3,815
Good Doctor,10,2018,Japanese,8.3,816
Legend of Fu Yao,66,2018,Chinese,8.3,817
The Good Detective,16,2020,Korean,8.3,818
Lie After Lie,16,2020,Korean,8.3,821
My Roommate Is a Gumiho,16,2021,Korean,8.3,823
Sh**ting Stars,16,2022,Korean,8.3,825
Doctor X Season 5,10,2017,Japanese,8.3,826
A Familiar Stranger,18,2022,Chinese,8.3,827
Search: WWW,16,2019,Korean,8.3,828
I Don't Want to Be Friends With You,24,2020,Chinese,8.3,829
Princess Pearl,24,1998,Chinese,8.3,831
Doctor Prisoner,32,2019,Korean,8.3,832
The Legend of the Blue Sea,20,2016,Korean,8.3,835
Summer Strike,12,2022,Korean,8.3,836
Celebrity,12,2023,Korean,8.3,840
My Roommate Is a Detective,36,2020,Chinese,8.3,841
A Little Reunion,49,2019,Chinese,8.3,842
Reunion: The Sound of the Providence,32,2020,Chinese,8.3,843
To the Moon and Back,21,2023,Thai,8.3,844
The Forbidden Marriage,12,2022,Korean,8.3,845
Jumong,81,2006,Korean,8.3,847
Yumi's Cells Season 2,14,2022,Korean,8.3,849
